,Country Name,Country Code,Year,Population,Period life expectancy at birth,Infant Mortality,GDP Per Capita,GNP Per Capita,PPP Per Capita,Continent,Log GDP Per Capita,Log GNP Per Capita,Log PPP Per Capita
107,Mexico,MEX,1962,39129200.0,55.06,99.7,388.46,370.0,,North America,5.962181715492648,5.91350300563827,
108,Marshall Islands,MHL,1962,15755.0,55.21,80.9,,,,Oceania,,,
109,North Macedonia,MKD,1962,1471745.0,59.3,,,,,Europe,,,
110,Mali,MLI,1962,5563917.0,30.83,,,,,Africa,,,
111,Malta,MLT,1962,323900.0,69.17,33.4,,,,Europe,,,
112,Myanmar,MMR,1962,22704719.0,45.26,,27.95,30.0,,Asia,3.330310001352651,3.4011973816621555,
113,Montenegro,MNE,1962,502558.0,66.4,,,,,Europe,,,
114,Mongolia,MNG,1962,1041444.0,46.27,,,,,Asia,,,
115,Northern Mariana Islands,MNP,1962,9280.0,61.97,,,,,Oceania,,,
116,Mozambique,MOZ,1962,6969364.0,41.76,,,,,Africa,,,
117,Mauritania,MRT,1962,869184.0,45.05,125.1,189.0,,,Africa,5.241721335432405,,
118,Mauritius,MUS,1962,700349.0,60.46,63.4,282.34,290.0,,Africa,5.643120470061275,5.66988092298052,
119,Malawi,MWI,1962,3806307.0,35.45,163.3,,,,Africa,,,
120,Malaysia,MYS,1962,8380172.0,58.86,59.9,238.84,250.0,,Asia,5.475778544064745,5.521460917862246,
121,Namibia,NAM,1962,615759.0,49.97,,,,,Africa,,,
122,New Caledonia,NCL,1962,85334.0,53.8,,,,,Oceania,,,
123,Niger,NER,1962,3714520.0,36.32,,143.15,150.0,,Africa,4.963898788641306,5.0106352940962555,
124,Nigeria,NGA,1962,46965292.0,37.61,,104.53,,,Africa,4.6494979851134906,,
125,Nicaragua,NIC,1962,1892320.0,47.98,133.3,142.3,140.0,,North America,4.95796226621877,4.941642422609304,
126,Netherlands,NLD,1962,11805689.0,73.22,15.6,1342.37,1290.0,,Europe,7.202190700056796,7.162397497355718,
127,Norway,NOR,1962,3638918.0,73.46,17.5,1678.27,1620.0,,Europe,7.425517145226846,7.3901814282264295,
128,Nepal,NPL,1962,10521116.0,39.33,211.9,54.57,50.0,,Asia,3.999403811274927,3.912023005428146,
129,Nauru,NRU,1962,4979.0,58.02,,,,,Oceania,,,
130,New Zealand,NZL,1962,2482000.0,71.2,20.9,2471.06,2440.0,,Oceania,7.812400511957317,7.799753318287247,
131,Oman,OMN,1962,549941.0,37.41,223.7,102.33,100.0,,Asia,4.628162662785712,4.605170185988092,
132,Pakistan,PAK,1962,48156128.0,45.85,157.4,89.5,90.0,,Asia,4.494282787158635,4.499809670330265,
133,Panama,PAN,1962,1195301.0,61.43,62.8,545.57,500.0,,North America,6.301831937673087,6.214608098422191,
134,Peru,PER,1962,10784612.0,51.53,144.3,304.54,290.0,,South America,5.718795274905798,5.66988092298052,
135,Philippines,PHL,1962,29723536.0,59.76,58.2,166.69,230.0,,Asia,5.116131128742317,5.438079308923196,
136,Palau,PLW,1962,9793.0,55.38,,,,,Oceania,,,
137,Papua New Guinea,PNG,1962,2093919.0,46.71,137.3,124.73,130.0,,Oceania,4.826187870031595,4.867534450455582,
138,Poland,POL,1962,30308500.0,68.04,49.9,,,,Europe,,,
139,Puerto Rico,PRI,1962,2450322.0,68.86,,854.74,820.0,,North America,6.75080295066355,6.709304340258298,
140,Portugal,PRT,1962,8993985.0,64.32,78.8,426.49,430.0,,Europe,6.055599087355237,6.063785208687608,
141,Paraguay,PRY,1962,1973130.0,60.82,61.8,182.81,170.0,,South America,5.208421072907263,5.135798437050262,
142,French Polynesia,PYF,1962,87261.0,60.2,,,,,Oceania,,,
143,Qatar,QAT,1962,44630.0,59.23,,,,,Asia,,,
144,Romania,ROU,1962,18676550.0,67.21,59.3,,,,Europe,,,
145,Rwanda,RWA,1962,3186025.0,47.8,117.9,39.23,40.0,,Africa,3.669539743015347,3.6888794541139363,
146,Saudi Arabia,SAU,1962,2620910.0,46.47,,812.93,680.0,,Asia,6.7006403891583695,6.522092798170152,
147,Sudan,SDN,1962,8919028.0,50.42,90.9,111.21,110.0,,Africa,4.711451374498326,4.700480365792417,
148,Senegal,SEN,1962,3534686.0,39.74,124.3,307.09,,,Africa,5.727149217150255,,
149,Singapore,SGP,1962,1750200.0,66.09,30.8,472.08,490.0,,Asia,6.157154267159258,6.194405391104672,
150,Solomon Islands,SLB,1962,146201.0,49.04,108.5,,,,Oceania,,,
151,Sierra Leone,SLE,1962,2342242.0,34.16,163.0,146.32,,,Africa,4.985809330011999,,
152,El Salvador,SLV,1962,2949204.0,49.0,121.9,,,,North America,,,
153,San Marino,SMR,1962,16183.0,73.53,,,,,Europe,,,
154,Somalia,SOM,1962,3030091.0,43.97,,67.17,70.0,,Africa,4.207230232626746,4.248495242049359,
155,Serbia,SRB,1962,6740264.0,67.04,,,,,Europe,,,
156,South Sudan,SSD,1962,3024308.0,28.51,192.3,,,,Africa,,,
157,Sao Tome and Principe,STP,1962,69403.0,46.84,,,,,Africa,,,
158,Suriname,SUR,1962,283912.0,58.02,,409.11,290.0,,South America,6.013973407208546,5.66988092298052,
159,Slovenia,SVN,1962,1603649.0,68.85,,,,,Europe,,,
160,Sweden,SWE,1962,7561588.0,73.35,15.6,2485.49,2410.0,,Europe,7.818226770717523,7.787382026484701,
161,Swaziland,SWZ,1962,361365.0,47.15,132.6,127.1,,,Africa,4.844940868515407,,
162,Sint Maarten (Dutch part),SXM,1962,3264.0,67.05,,,,,North America,,,
163,Seychelles,SYC,1962,44042.0,60.67,69.0,287.04,290.0,,Africa,5.659638208950343,5.66988092298052,
164,Turks and Caicos Islands,TCA,1962,5636.0,57.74,,,,,North America,,,
165,Chad,TCD,1962,3175598.0,39.61,141.4,112.62,110.0,,Africa,4.724018946987156,4.700480365792417,
166,Togo,TGO,1962,1732959.0,44.0,132.2,107.76,110.0,,Africa,4.679917756083857,4.700480365792417,
167,Thailand,THA,1962,28481040.0,51.44,105.7,116.18,120.0,,Asia,4.755136351544755,4.787491742782046,
168,Tajikistan,TJK,1962,2255026.0,53.37,,,,,Asia,,,
169,Turkmenistan,TKM,1962,1749214.0,52.87,,,,,Asia,,,
170,Tonga,TON,1962,69940.0,59.3,,,,,Oceania,,,
171,Trinidad and Tobago,TTO,1962,880194.0,63.43,58.2,703.62,640.0,,North America,6.556239580059502,6.461468176353717,
172,Tunisia,TUN,1962,4369136.0,45.56,159.2,201.42,,,Africa,5.305388144237684,,
173,Tuvalu,TUV,1962,5699.0,49.78,125.4,,,,Oceania,,,
174,Tanzania,TZA,1962,10487756.0,43.21,121.0,304.0,300.0,,Africa,5.717019268881978,5.703782474656201,
175,Uganda,UGA,1962,8092231.0,46.82,120.6,55.5,,,Africa,4.016470772946894,,
176,Ukraine,UKR,1962,43943674.0,70.4,,,,,Europe,,,
177,Uruguay,URY,1962,2593298.0,67.91,54.4,659.39,580.0,,South America,6.491320802068904,6.363028103540465,
178,United States,USA,1962,186538000.0,70.12,25.0,3236.01,3260.0,,North America,8.0820973299318,8.089482474360754,
179,Uzbekistan,UZB,1962,8854368.0,57.22,,,,,Asia,,,
180,British Virgin Islands,VGB,1962,8070.0,63.83,62.5,,,,North America,,,
181,Vanuatu,VUT,1962,68174.0,50.93,105.8,,,,Oceania,,,
182,Samoa,WSM,1962,118597.0,56.32,72.8,,,,Oceania,,,
